GISZ	tree
A	water
SI	horn
DIN	wall
N	stone
MU	name/year
AN	sky/god
BAD	wall/die
BA	give
GAL	great
GAN	field
GAR	place
GI	reed
GU	neck
GUL	destroy
HA	fish
HI	mix
HU	bird
KA	mouth
KI	earth
KUR	land/mountain
LA	hang
LU	man
LUGAL	king
MA	ship
ME	be
MI	night
NA	stone
NI	fear
NU	not
PA	branch
RA	strike
RI	throw
RU	send
SA	sinew
SI	horn
SU	flesh
SZU	hand
TA	from
TE	cheek
TI	life
TU	enter
U	and
UD	sun
UM	speak
UN	people
UR	dog
ZA	precious
ZU	know
M365	lord
M388	place
M263~1	man
M033	woman
M371	child
M288	one
M218	grain
M075~r	bread
M066	house
M056~f	ox
M292	sheep
M388	earth
M321~b	goat
M032	fish
M332~g	bird
M057~a1	star
M305	king
M057	star
M058~b	moon
M319	eye
M296	hand
M115~a	foot
M029~b	heart
M175	seed
